State_Name,YY_Crude_Death_Rate_Cdr_Total_Female,AA_Sample_Units_Total,YY_Crude_Death_Rate_Cdr_Rural_Person,AA_Sample_Units_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Rural_Male,AA_Sample_Units_Urban,QQ_Institutional_Delivery_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Rural,YY_Crude_Death_Rate_Cdr_Rural_Female,AA_Households_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Urban,YY_Crude_Death_Rate_Cdr_Urban_Person,AA_Households_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Total,YY_Crude_Death_Rate_Cdr_Urban_Male,QQ_Delivery_At_Government_Institution_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Rural,YY_Crude_Death_Rate_Cdr_Urban_Female,AA_Population_Total,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,AA_Population_Urban,LL_Crude_Birth_Rate_Cbr_Total,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Total,AA_Ever_Married_Women_Aged_15_49_Years_Total,PP_Mothers_Who_Received_Anc_From_Govt_Source_Total,ZZ_Crude_Birth_Rate_Total_Upper_Limit,AA_Ever_Married_Women_Aged_15_49_Years_Rural,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Total,AA_Ever_Married_Women_Aged_15_49_Years_Urban,LL_Natural_Growth_Rate_Total,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,AA_Currently_Married_Women_Aged_15_49_Years_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,ZZ_Crude_Death_Rate_Total_Lower_Limit,AA_Children_12_23_Months_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Total,ZZ_Crude_Death_Rate_Rural_Lower_Limit,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Rural,ZZ_Crude_Death_Rate_Rural_Upper_Limit,EE_Marriages_Among_Males_Below_Legal_Age_21_Years_Total,YY_Crude_Death_Rate_Cdr_Total_Person,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Total_Male,YY_Infant_Mortality_Rate_Imr_Total_Person,State_District_Name
Assam,6.7,50,8.2,43,93.4,9.5,7,86.5,93.5,6.8,12855,1.3,6.6,11951,83.5,8.2,68.1,83.4,4.8,57972,19.0,19.0,3758,19.0,88.3,11316.0,72.1,19.9,10581.0,0.8,735,11.0,20.1,10573.0,98.0,9881.0,98.0,25.9,7.5,1954,88.4,7.6,88.3,8.8,6.2,8.1,83.8,92.0,9.4,56.0,Sibsagar
Assam,5.9,138,6.5,117,85.0,7.0,21,62.0,85.2,6.1,30255,1.7,5.5,27338,70.5,6.6,50.7,70.9,4.4,143695,18.0,19.0,12570,18.9,67.1,27274.0,78.0,19.9,24695.0,2.5,2579,12.4,20.2,25213.0,95.8,22812.0,95.8,40.5,5.9,4724,84.3,6.0,84.7,7.1,9.5,6.4,63.0,83.1,6.9,61.0,Sonitpur
Assam,6.7,144,7.7,105,91.1,8.4,39,74.0,90.6,7.0,29570,1.1,6.6,24318,79.0,7.6,48.4,78.9,5.6,139490,15.0,17.0,23747,20.5,77.1,26772.0,57.2,21.3,22061.0,0.9,4711,13.0,22.5,24859.0,98.4,20503.0,98.2,48.9,7.0,5668,87.8,7.1,87.7,8.3,9.5,7.5,73.3,88.9,8.3,50.0,Tinsukia
Bihar,7.6,48,7.5,43,67.2,7.3,5,45.7,66.8,7.7,16028,0.5,6.5,15342,59.9,6.5,37.0,59.9,6.5,81612,12.0,12.0,3613,30.6,49.8,14375.0,26.0,32.7,13745.0,5.2,630,23.2,33.2,13858.0,91.3,13248.0,91.0,70.8,6.9,3367,83.0,7.0,83.5,8.1,14.5,7.5,61.4,80.9,7.3,52.0,Araria
Bihar,5.5,59,5.7,51,82.9,5.9,8,61.7,83.4,5.4,10693,7.2,5.5,9839,78.6,4.8,45.9,79.2,6.1,63068,15.0,15.0,4805,24.7,73.1,12204.0,20.0,25.6,11279.0,1.9,925,19.1,25.9,11827.0,96.7,10936.0,96.9,52.4,5.2,2652,90.7,5.1,91.0,6.2,31.8,5.6,57.4,92.1,5.8,40.0,Aurangabad
Bihar,5.3,68,5.6,63,81.5,5.8,5,64.9,81.7,5.4,16677,0.5,5.5,16131,65.7,5.8,52.3,65.9,5.2,81445,16.0,15.0,2756,25.1,71.6,15734.0,13.5,26.0,15207.0,1.7,527,19.5,26.0,15148.0,96.3,14633.0,96.2,60.0,5.3,3695,76.0,5.3,76.3,5.9,18.8,5.6,70.5,80.6,5.8,44.0,Banka
Bihar,5.7,56,6.0,52,78.0,6.3,4,66.6,77.1,5.8,18320,0.5,4.9,17683,65.2,5.4,51.0,63.8,4.4,92242,17.0,17.0,3229,25.8,69.8,17631.0,12.4,26.9,17010.0,1.6,621,19.9,27.3,17080.0,96.9,16485.0,96.9,50.4,5.5,3903,80.0,5.6,79.2,6.5,20.5,5.9,55.8,81.0,6.2,40.0,Begusarai
Bihar,4.6,53,4.7,39,81.3,4.8,14,62.8,81.6,4.6,14684,2.4,4.8,13043,68.0,5.1,48.3,67.3,4.5,73983,21.0,22.0,8127,25.5,68.2,13440.0,13.7,27.3,11960.0,1.8,1480,20.8,27.5,12944.0,97.0,11525.0,97.2,56.9,4.3,2980,80.5,4.2,80.3,5.2,10.6,4.7,58.2,83.1,4.9,49.0,Bhagalpur
Bihar,5.1,83,5.5,66,77.9,5.8,17,70.3,77.1,5.3,17517,5.2,5.1,16012,67.9,5.7,45.7,67.7,4.4,100271,16.0,16.0,8724,23.5,74.3,19221.0,18.7,24.5,17667.0,2.7,1554,18.1,25.2,18571.0,95.7,17073.0,95.8,54.2,5.1,4162,80.3,5.1,80.7,5.9,26.6,5.4,69.4,80.9,5.7,41.0,Bhojpur
Bihar,6.0,74,6.3,64,75.7,6.5,10,71.5,75.5,6.0,17148,3.6,5.8,16241,67.8,5.8,47.5,67.7,5.8,100061,19.0,19.0,5013,24.1,75.7,18678.0,14.2,25.3,17768.0,4.4,910,17.9,25.4,18172.0,94.0,17301.0,94.0,51.1,5.9,4314,81.0,5.9,81.3,6.6,25.3,6.2,65.5,80.2,6.5,48.0,Buxar
